"nct_id","disease","drug"
"NCT02690974","Hearth Failure With Reduced Ejection Fraction (HFrEF)","LCZ696 (sacubitril/valsartan)"
"NCT02688933","Type 1 Diabetes Mellitus","HOE901-U300 (Insulin Glargine 300 U/ml)"
"NCT02688933","Type 1 Diabetes Mellitus","Lantus (Insulin Glargine 100 U/ml)"
"NCT02683109","Pulmonary Disease, Chronic Obstructive","FDC of tiotropium + olodaterol"
"NCT00667043","Hypothermia","remifentanil and propofol"
"NCT00667043","Hypothermia","fentanyl and midazolam"
"NCT00680173","Chronic Hepatitis C","pegylated interferon alpha 2a and plus ribavirin"
"NCT00681213","Adult Primary Kidney Transplantation","Tacrolimus/Sirolimus"
"NCT00681213","Adult Primary Kidney Transplantation","Tacrolimus/MMF"
"NCT00681213","Adult Primary Kidney Transplantation","Neoral/Sirolimus"
"NCT00669643","Leprosy","PB 6 doses - Rifampicin and Dapsone"
"NCT00669643","Leprosy","PB 6 doses - Rifampicin, Clofazimine and Dapsone"
"NCT00669643","Leprosy","MB 12 doses - Rifampicin, Clofazimine and Dapsone"
"NCT00669643","Leprosy","MB 6 doses - Rifampicin, Clofazimine and Dapsone"
"NCT00703144","Diffusive and Convective Clearance","piperacillin/tazobactam"
"NCT00703144","Body Clearance","piperacillin/tazobactam"
"NCT00703144","Piperacillin Tazocilline Concentrations (Cmin)","piperacillin/tazobactam"
"NCT00706277","Lung Function","Sevoflurane/Nitrous Oxide"
"NCT00730769","Cytomegalovirus Infection","Single arm (ganciclovir and valganciclovir)"
"NCT00733317","Asthma","0.5 mg/ml budesonide nebules"
"NCT00733317","Acute Asthma","0.5 mg/ml budesonide nebules"
"NCT00733473","Asthma","Budesonide 0.5 mg/ml nebules"
"NCT00733473","Acute Asthma","Budesonide 0.5 mg/ml nebules"
"NCT00698724","Cataracts","Xibrom, and Optive"
"NCT00698724","Cataracts","Xibrom and Pred Forte"
"NCT00630084","Neoplasms","pegylated interferon alpha 2a and plus ribavirin"
"NCT00630084","Neoplasms","pegylated interferon alpha 2a and plus ribavirin"
"NCT00363480","Asthma","Salmeterol/Fluticasone 50/250 mcg"
"NCT01838772","HIV","Pegylated-Interferon and Ribavirin"
"NCT00129038","Coronary Arteriosclerosis","modified-release dipyridamole/aspirin"
"NCT00822055","Open-Angle Glaucoma","brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination"
"NCT00822055","Open-Angle Glaucoma","dorzolamide hcl 2%/timolol maleate 0.5% fixed combination"
"NCT00822055","Open-Angle Glaucoma","brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination as adjunctive to current prostaglandin therapy"
"NCT00822055","Open-Angle Glaucoma","dorzolamide hcl 2%/timolol maleate 0.5% fixed combination as adjunctive to current prostaglandin therapy"
"NCT00822055","Ocular Hypertension","brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination"
"NCT00822055","Ocular Hypertension","dorzolamide hcl 2%/timolol maleate 0.5% fixed combination"
"NCT00822055","Ocular Hypertension","brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination as adjunctive to current prostaglandin therapy"
"NCT00822055","Ocular Hypertension","dorzolamide hcl 2%/timolol maleate 0.5% fixed combination as adjunctive to current prostaglandin therapy"
"NCT00822081","Open-Angle Glaucoma","brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination"
"NCT00822081","Open-Angle Glaucoma","dorzolamide hcl 2%/ timolol maleate 0.5% fixed combination"
"NCT00822081","Open-Angle Glaucoma","brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination as adjunctive to current prostaglandin therapy."
"NCT00822081","Open-Angle Glaucoma","dorzolamide hcl 2%/timolol maleate 0.5% fixed combinatin as adjunctive to current prostaglandin therapy."
"NCT00822081","Ocular Hypertension","brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination"
"NCT00822081","Ocular Hypertension","dorzolamide hcl 2%/ timolol maleate 0.5% fixed combination"
"NCT00822081","Ocular Hypertension","brimonidine tartrate 0.2%/timolol maleate 0.5% fixed combination as adjunctive to current prostaglandin therapy."
"NCT00822081","Ocular Hypertension","dorzolamide hcl 2%/timolol maleate 0.5% fixed combinatin as adjunctive to current prostaglandin therapy."
"NCT00822536","Coronary Artery Disease","Aspirin and Clopidogrel"
"NCT00822536","Stent Thrombosis","Aspirin and Clopidogrel"
"NCT00822536","Myocardial Ischemia","Aspirin and Clopidogrel"
"NCT00707369","Periodontitis","Amoxicillin and Metronidazole"
"NCT00823849","Type 2 Diabetes Mellitus","Cilostazol+Probucol"
"NCT00823849","Arteriosclerosis Obliterans","Cilostazol+Probucol"
"NCT00823875","Atherosclerosis Cerebral Infarction","Cilostazol + Probucol group"
"NCT00873626","Urinary Tract Infection","levofloxacin, ciprofloxacin and ofloxacin (fluoroquinolones)"
"NCT00873626","Fever","levofloxacin, ciprofloxacin and ofloxacin (fluoroquinolones)"
"NCT00883844","Chronic Hepatitis B","Nucleos(t)ide analogue treatment with a peginterferon add-on strategy"
"NCT00139555","Hypertension","amlodipine/benazepril"
"NCT00139555","Left Ventricular Hypertrophy","amlodipine/benazepril"
"NCT00143000","Hepatitis C Virus","Peginterferon alfa-2a 40KD and Ribavirin"
"NCT00911092","Esophageal Cancer","Chemotherapy (Fluorouracil and Cisplatin)"
"NCT00149123","Burns","hydrocortisone 200 mg/day"
"NCT00913029","Eye Diseases","latanoprost/timolol"
"NCT00913029","Glaucoma, Open-Angle","latanoprost/timolol"
"NCT00913029","Glaucoma","latanoprost/timolol"
"NCT00913367","Type 2 Diabetes Mellitus","glimepiride + insulin glargine (Amaryl + Lantus)"
"NCT00913367","Type 2 Diabetes Mellitus","glimepiride/metformin fixed combination+insulin glargine (AmarylM + Lantus)"
"NCT00164112","Healthy","Cooperstown 5+1 alone"
"NCT00164112","Healthy","Azithromycin plus Cooperstown 5+1"
"NCT00164112","Healthy","Telithromycin plus Cooperstown 5+1"
"NCT00164112","Healthy","Levofloxacin plus Cooperstown 5+1"
"NCT00164255","Malaria","sulfadoxine/pyrimethamine"
"NCT00164255","Malaria","sulfadoxine/pyrimethamine plus artesunate"
"NCT00934570","Obesity","Metformin and standard exercise"
"NCT00934570","Type 2 Diabetes","Metformin and standard exercise"
"NCT00941096","Glaucoma","Bimatoprost and Bimatoprost/Timolol fixed combination."
"NCT00941096","Ocular Hypertension","Bimatoprost and Bimatoprost/Timolol fixed combination."
"NCT00942565","Postoperative Pain","tramadol/acetaminophen"
"NCT00952796","Intra-abdominal Infection","ampicillin/sulbactam"
"NCT00192621","HIV Infections","Combivir (zidovudine [AZT] / lamivudine [3TC])"
"NCT00192621","Dyslipidemias","Combivir (zidovudine [AZT] / lamivudine [3TC])"
"NCT00192621","Glucose Metabolism Disorders","Combivir (zidovudine [AZT] / lamivudine [3TC])"
"NCT00192621","Metabolic Diseases","Combivir (zidovudine [AZT] / lamivudine [3TC])"
"NCT00192621","Lipodystrophy","Combivir (zidovudine [AZT] / lamivudine [3TC])"
"NCT00192621","Cardiovascular Disease","Combivir (zidovudine [AZT] / lamivudine [3TC])"
"NCT00957866","Chronic Hepatitis C","Pegylated Interferons (Peg-IFN) and Ribavirin"
"NCT00199004","Adult Acute Lymphocytic Leukemia","Dexamethasone / Prednisolone"
"NCT00199017","Lymphoma, Lymphoblastic","Dexamethasone/Prednisolone"
"NCT00400777","Hypertension","Valsartan, hydrochlorothiazide and amlodipine"
"NCT01115543","Secondary Hyperparathyroidism","alfacalcidol and calcitriol"
"NCT01115543","End Stage Renal Disease","alfacalcidol and calcitriol"
"NCT01116817","HIV","Lumbar puncture (Lopinavir/ritonavir monotherapy)"
"NCT01116817","HIV","Lumbar puncture (HAART: Lopinavir/ritonavir + 2 NRTI)"
"NCT00404781","Ischemic Heart Disease","cilostazol in addition to aspirin and clopidogrel"
"NCT00404781","Acute Coronary Syndromes","cilostazol in addition to aspirin and clopidogrel"
"NCT00421863","Hypertension","Micardis plus 80/12.5"
"NCT00446485","Mild Cognitive Impairment","Ginkgo biloba standardized extract 24/6"
"NCT00446485","Mild Cognitive Impairment","Ginkgo Biloba standardized extract 24/6"
"NCT00481143","Myelodysplastic Syndromes","ICL670/Deferasirox"
"NCT00481143","Transfusion Dependent Iron Overload","ICL670/Deferasirox"
"NCT00486486","Glaucoma","Drug: bimatoprost/timolol fixed combination AM"
"NCT00486486","Glaucoma","Bimatoprost/timolol fixed combination dosed PM"
"NCT00488189","Bacterial Infections","Tazocin (pipercillin/tazobactam)"
"NCT01194700","Asthma","Seretide 250 (8 puffs)/placebo via Volumatic spacer"
"NCT01194700","Asthma","Seretide 250/placebo 8 puffs via Aerochamber Plus spacer"
"NCT01194700","Asthma","Seretide 250/placebo via Synchro-Breathe"
"NCT01199432","Breast Cancer","5-FU（intravenous infusion）+epirubicin+cyclophosphamide"
"NCT01199432","Breast Cancer","5-FU（intravenous bolus）+epirubicin+cyclophosphamide"
"NCT01199432","Breast Cancer","epirubicin+cyclophosphamide"
"NCT05319756","Abuse Potential","gabapentin 600 mg and oxycodone HCl 20 mg"
"NCT05319756","Abuse Potential","gabapentin 1200 mg and oxycodone HCl 20 mg"
"NCT00732524","Type 2 Diabetes","Glipizide and Glargine"
"NCT00732693","Premature Ovarian Failure","Ethinylestradiol / Norethisterone"
"NCT00732693","Premature Ovarian Failure","Estradiol / Progesterone"
"NCT00733811","Beta-Thalassemia","Deferiprone (DFP) and Deferoxamine (DFO)"
"NCT00733811","Thalassemia Major","Deferiprone (DFP) and Deferoxamine (DFO)"
"NCT04075513","Type 1 Diabetes Mellitus","Insulin glargine, 300 U/ml"
"NCT04075513","Type 1 Diabetes Mellitus","Insulin degludec, 100U/ml"
"NCT04050722","Gingivitis","Sensodyne Repair and Protect"
"NCT04050371","HIV Prevention","200 mg emtricitabine and 300 mg tenofovir disoproxil fumarate"
"NCT04050371","Transgender Health","200 mg emtricitabine and 300 mg tenofovir disoproxil fumarate"
"NCT03662334","Type 1 Diabetes Mellitus","Rapid Acting insulin with pre-treatment of rHuPH20"
"NCT00599950","Refractive Disorders","Mitomycin C and Photorefractive keratectomy (PRK)"
"NCT03619837","Hepatitis C","Sofosbuvir/Velpatasvir"
"NCT03619837","Hepatitis C","Sofosbuvir/Velpatasvir/Voxilaprevir"
"NCT03619837","Transplantation Disease Transmission","Sofosbuvir/Velpatasvir"
"NCT03619837","Transplantation Disease Transmission","Sofosbuvir/Velpatasvir/Voxilaprevir"
"NCT00737971","Diabetic Macular Edema","Triamcinolone + Bevacizumab"
"NCT03351608","Neuromuscular Blockade","Sugammadex 2 mg/kg"
"NCT03351608","Neuromuscular Blockade","Sugammadex 4 mg/kg"
"NCT03351608","Neuromuscular Blockade","Neostigmine + Glycopyrrolate"
"NCT03351608","Neuromuscular Blockade","Neostigmine + Atropine"
"NCT02566031","COPD","Indacaterol and glycopyrronium (QVA149)"
"NCT02564471","Rabies","Atovaquone and Proguanil"
"NCT02435069","Fecal Incontinence","Dose Response - NS and USP Glycerin - First Intervention"
"NCT02435069","Fecal Incontinence","Effectiveness - NS and USP Glycerin - Second Intervention"
"NCT02435069","Neurogenic Bowel","Dose Response - NS and USP Glycerin - First Intervention"
"NCT02435069","Neurogenic Bowel","Effectiveness - NS and USP Glycerin - Second Intervention"
"NCT03089216","Tooth Bleaching","8% arginine and calcium carbonate"
"NCT03089216","Tooth Sensitivity","8% arginine and calcium carbonate"
"NCT02424344","Pulmonary Disease, Chronic Obstructive","Aclidinium/Formoterol"
"NCT02424097","Dental White Spots","CPP-ACP 5% sodium fluoride varnish & 900ppm fluoride paste"
"NCT02424097","Dental White Spots","1,100pm F-toothpaste and 0.5%NaF rinse"
"NCT02424097","Dental Caries","CPP-ACP 5% sodium fluoride varnish & 900ppm fluoride paste"
"NCT02424097","Dental Caries","1,100pm F-toothpaste and 0.5%NaF rinse"
"NCT02875366","Cystic Fibrosis","LUM/IVA"
"NCT02658149","Osteoarthritis","Ropivacaine with NaCl"
"NCT02658149","Arthroplasty","Ropivacaine with NaCl"
"NCT02647788","Pain, Postoperative","Acetaminophen/Ibuprofen"
"NCT02647788","Pain, Postoperative","Acetaminophen/Codeine"
"NCT02887183","Heart Failure","LCZ696 (sacubitril/valsartan)"
"NCT02874794","Heart Failure and Reduced Ejection Fraction","LCZ696 (sacubitril/valsartan)"
"NCT02858180","Hepatitis C, Chronic","Sofosbuvir/ledipasvir fixed dose combination(SOF/LDV FDC)"
"NCT02858180","Heart Failure","Sofosbuvir/ledipasvir fixed dose combination(SOF/LDV FDC)"
"NCT02858180","Pulmonary Disease, Chronic Obstructive","Sofosbuvir/ledipasvir fixed dose combination(SOF/LDV FDC)"
"NCT02858180","Lung Diseases, Interstitial","Sofosbuvir/ledipasvir fixed dose combination(SOF/LDV FDC)"
"NCT02799784","Pulmonary Disease, Chronic Obstructive","UMEC/VI"
"NCT02799784","Pulmonary Disease, Chronic Obstructive","TIO/OLO"
"NCT02799784","Pulmonary Disease, Chronic Obstructive","Albuterol/salbutamol"
"NCT02798835","Total Knee Arthroplasty","Adductor canal block with dexamethasone"
"NCT02738580","Infertility","COS with GnRH antagonists and rFSH"
"NCT02738580","Infertility","COS with GnRH antagonists and HP-HMG"
"NCT02738580","Controlled Ovarian Hyperstimulation","COS with GnRH antagonists and rFSH"
"NCT02738580","Controlled Ovarian Hyperstimulation","COS with GnRH antagonists and HP-HMG"
"NCT02738151","Diabetes Mellitus, Type 2","Insulin glargine, 300U/mL"
"NCT02738151","Diabetes Mellitus, Type 2","Insulin degludec, 100 U/mL"
"NCT02730351","Asthma","Fluticasone furoate/ Vilanterol 100 mcg/25 mcg"
"NCT02730351","Asthma","Placebo via DISKUS / ACCUHALER"
"NCT00629967","Chronic Hepatitis C","pegylated interferon alpha 2a and ribavirin"
"NCT00629967","Chronic Hepatitis C","Pegylated interferon alfa-2a and ribavirin"
"NCT00629967","Genotype","pegylated interferon alpha 2a and ribavirin"
"NCT00629967","Genotype","Pegylated interferon alfa-2a and ribavirin"
"NCT02604550","Anterior Cruciate Ligament Reconstruction","Percocet 7.5/325"
"NCT02603393","Chronic Obstructive Pulmonary Disease (COPD)","Salmeterol/fluticasone"
"NCT00641004","NSAID Induced Gastropathy","Rebamipide and Esomeprazole"
"NCT00646945","Cancer","50% Oxygen/50% Nitrous oxide premix (Kalinox 170 bar)"
"NCT00646945","Cancer","50% Oxygen/50% Nitrogen premix"
"NCT00646945","Pain","50% Oxygen/50% Nitrous oxide premix (Kalinox 170 bar)"
"NCT00646945","Pain","50% Oxygen/50% Nitrogen premix"
"NCT00648999","Human Immunodeficiency Virus","lopinavir/ritonavir"
"NCT00651846","Healthy","Microgynon (LNG 0.15 mg/EE 0.03 mg)"
"NCT00651846","Healthy","Yasmin (DRSP 3mg/EE 0.03 mg)"
"NCT00653302","Type 2 Diabetes","Lantus (insulin glargine) + Glucophage (Metformin)"
"NCT04498936","COVID","Sofosbuvir and Ledipasvir"
"NCT00662454","Contraception","ethinyl estradiol / levonorgestrel"
"NCT00662454","Contraception","ethinyl estradiol / levonorgestrel"
"NCT00662454","Body Weight","ethinyl estradiol / levonorgestrel"
"NCT00662454","Body Weight","ethinyl estradiol / levonorgestrel"
"NCT00663195","Chronic Stable Heart Failure","spironolactone + furosemide"
"NCT00664222","Chronic Stable Heart Failure","spironolactone + furosemide"
"NCT00668330","Systemic Lupus Erythematosus","Ibandronate+alfacalcidol+calcium"
"NCT00668330","Systemic Lupus Erythematosus","placebo ibandronate+alfacalcidol+calcium"
"NCT00670566","Hypertension","irbesartan/hydrochlorothiazide"
"NCT00665873","Infections","Amoxicillin and clavulanic acid"
"NCT00677300","HIV Infections","Tenofovir/Emtricitabine"
"NCT00770445","Diabetes Mellitus","Pioglitazone and insulin"
"NCT00770445","Diabetes Mellitus","Pioglitazone and metformin and insulin"
"NCT00770445","Diabetes Mellitus","Metformin and insulin"
"NCT00772499","Hypertension","olmesartan medoxomil + hydrochlorothiazide + amlodipine + hydralazine if necessary to control blood pressure"
"NCT00772499","Hypertension","atenolol+ hydrochlorothiazide + amlodipine + hydralazine if necessary to control blood pressure"
"NCT00772681","Head and Neck Neoplasms","docetaxel and cisplatin"
"NCT00772902","HIV-1","Truvada + Kaletra"
"NCT00772902","HIV-1","Kivexa + Kaletra"
"NCT00775814","Obesity","Candesartan and Hydrochlorothiazide"
"NCT00775814","Hypertension","Candesartan and Hydrochlorothiazide"
"NCT00603083","Pain, Postoperative","Ropivacaine, Ketorolac and Adrenalin"
"NCT00603317","Oral Anticoagulation","Firstly : Amoxicillin-Clavulanic acid and secondly : Placebo"
"NCT00603317","Oral Anticoagulation","Firstly : Placebo and secondly : Amoxicillin-Clavulanic acid"
"NCT00603317","Deep Venous Thrombosis","Firstly : Amoxicillin-Clavulanic acid and secondly : Placebo"
"NCT00603317","Deep Venous Thrombosis","Firstly : Placebo and secondly : Amoxicillin-Clavulanic acid"
"NCT00603317","Atrial Fibrillation","Firstly : Amoxicillin-Clavulanic acid and secondly : Placebo"
"NCT00603317","Atrial Fibrillation","Firstly : Placebo and secondly : Amoxicillin-Clavulanic acid"
"NCT00603317","Pulmonary Embolism","Firstly : Amoxicillin-Clavulanic acid and secondly : Placebo"
"NCT00603317","Pulmonary Embolism","Firstly : Placebo and secondly : Amoxicillin-Clavulanic acid"
"NCT00605098","HIV Infections","Lopinavir / ritonavir"
"NCT00605098","HIV Infections","Lopinavir/ritonavir"
"NCT00605098","Pregnancy","Lopinavir / ritonavir"
"NCT00605098","Pregnancy","Lopinavir/ritonavir"
"NCT00687011","Neoplasms","Palonosetron and Dexamethasone"
"NCT00687011","Nausea","Palonosetron and Dexamethasone"
"NCT00687011","Vomiting","Palonosetron and Dexamethasone"
"NCT00687180","Autoimmune Hepatitis","Treatment with mycophenolat mofetil"
"NCT00687180","Autoimmune Hepatitis","Treatment with azathioprin"
"NCT00015340","Opioid Dependence","Buprenorphine/naloxone"
"NCT00015340","Substance-Related Disorders","Buprenorphine/naloxone"
"NCT00611039","HIV Infections","Darunavir 900mg + ritonavir 100 mg once a day"
"NCT00611039","HIV Infections","Darunavir 600mg + ritonavir 100mg twice day"
"NCT05330650","Cesarean Section; Infection","Coated Vicryl+"
"NCT03690037","Primary Total Knee Arthroplasty","Tranexamic Acid 100 MG/ML"
"NCT03690037","Primary Total Hip Arthroplasty","Tranexamic Acid 100 MG/ML"
"NCT03028701","Copd","Formoterol/Budesonide 12/400 mcg Discair"
"NCT00694343","Hypotension","HES 130/0.4 (6%) in sodium chloride (solution for infusion)"
"NCT00698945","Ocular Hypertension","Istalol and Optive"
"NCT00698945","Open-Angle Glaucoma","Istalol and Optive"
"NCT00699114","Surgery","Paracetamol (acetaminophen) 1000 mg + codeine 60 mg"
"NCT03630198","Morphea","Corticosteroid with lidocaine"
"NCT03630198","Morphea","Corticosteroid with normal saline"
"NCT00806754","Rhinitis, Allergic, Perennial","Ciclesonide nasal spray + placebo Azelastine"
"NCT00806754","Rhinitis, Allergic, Perennial","Ciclesonide nasal spray + Azelastine"
"NCT00827411","Coronary Artery Disease","Aspirin and clopidogrel / Prasugrel"
"NCT00827411","Coronary Artery Disease","Aspirin and clopidogrel / Prasugrel"
"NCT00827411","Coronary Artery Disease","Aspirin and clopidogrel / Prasugrel"
"NCT00827411","Acute Coronary Syndrome","Aspirin and clopidogrel / Prasugrel"
"NCT00827411","Acute Coronary Syndrome","Aspirin and clopidogrel / Prasugrel"
"NCT00827411","Acute Coronary Syndrome","Aspirin and clopidogrel / Prasugrel"
"NCT00829114","HIV/AIDS","ETHINYL ESTRADIOL AND LEVOGESTREL"
"NCT00829114","HIV/AIDS","ETHINYL ESTRADIOL AND LEVOGESTREL"
"NCT00829114","HIV Infections","ETHINYL ESTRADIOL AND LEVOGESTREL"
"NCT00829114","HIV Infections","ETHINYL ESTRADIOL AND LEVOGESTREL"
"NCT00830505","Asthma","fluticasone/salmeterol"
"NCT00830609","Chronic Hepatitis C","Peginterferon alfa 2 A, ribavirin + Epo Beta"
"NCT00864812","Chronic Obstructive Pulmonary Disease","tiotropium with fluticasone propionate/salmeterol (FSC)"
"NCT00865007","HIV Infection","Monotherapy (Lopinavir/ritonavir)"
"NCT00865007","HIV Infection","Monotherapy (Lopinavir/ritonavir) + ABC/3TC"
"NCT00865007","Lipodystrophy","Monotherapy (Lopinavir/ritonavir)"
"NCT00865007","Lipodystrophy","Monotherapy (Lopinavir/ritonavir) + ABC/3TC"
"NCT00865007","HIV Infections","Monotherapy (Lopinavir/ritonavir)"
"NCT00865007","HIV Infections","Monotherapy (Lopinavir/ritonavir) + ABC/3TC"
"NCT00865475","HIV Infection","AZT+3TC+ABV (Trizivir)"
"NCT00865475","HIV Infection","Switching to LPV/r monotherapy (Kaletra)"
"NCT00865475","HIV Infections","AZT+3TC+ABV (Trizivir)"
"NCT00865475","HIV Infections","Switching to LPV/r monotherapy (Kaletra)"
"NCT02149888","HIV","Tenofovir/emtricitabine"
"NCT00136773","Albuminuria","amlodipine/benazepril"
"NCT01089218","Fever","oral amoxicillin/clavulanate 1g (875/125mg)"
"NCT01089218","Pneumonia","oral amoxicillin/clavulanate 1g (875/125mg)"
"NCT00372476","Breast Cancer","Imatinib and Vinorelbine"
"NCT01138423","Hypertension","Placebo (for moxonidine and hydrochlorothiazide)"
"NCT01138423","Abdominal Obesity","Placebo (for moxonidine and hydrochlorothiazide)"
"NCT01138423","Metabolic Syndrome","Placebo (for moxonidine and hydrochlorothiazide)"
"NCT00474838","Type 2 Diabetes Mellitus","Oral AntiDiabetic Drug (glimepiride and metformin)"
"NCT00474838","Pancreatic Beta Cell Function","Oral AntiDiabetic Drug (glimepiride and metformin)"
"NCT00474838","Glucotoxicity","Oral AntiDiabetic Drug (glimepiride and metformin)"
"NCT00479739","Asthma","Salmeterol/fluticasone propionate or formoterol/budesonide"
"NCT01191918","Bipolar Disorder","Donepezil and Lithium"
"NCT01191918","Mania","Donepezil and Lithium"
"NCT00540787","Paroxysmal Atrial Fibrillation","Amiodarone, flecainide, propafenone, quinidine, dofetilide, sotalol, cibenzoline, beta blocking and calcium channel blocking agents and antiarrhythmic drugs"
"NCT04399122","Post-operative Pain Control","acetaminophen/codeine vs acetaminophen/oxycodone"
"NCT04307940","Pain","Hydrocodone/Acetaminophen"
"NCT03498313","Suicidal Ideation","Transdermal Estradiol + Placebo"
"NCT03498313","Suicidal Ideation","Oral Micronized Progesterone + Placebo"
"NCT03478696","Pulmonary Disease, Chronic Obstructive","budesonide/formoterol"
"NCT03478696","Pulmonary Disease, Chronic Obstructive","albuterol/salbutamol"
"NCT03478696","Pulmonary Disease, Chronic Obstructive","FF/UMEC/VI"
"NCT03478696","Pulmonary Disease, Chronic Obstructive","Placebo to match budesonide/formoterol"
"NCT03478696","Pulmonary Disease, Chronic Obstructive","Placebo to match FF/UMEC/VI"
"NCT03478683","Pulmonary Disease, Chronic Obstructive","budesonide/formoterol"
"NCT03478683","Pulmonary Disease, Chronic Obstructive","albuterol/salbutamol"
