dname_drug1,molecular_formula_drug1,smiles_drug1,dname_drug2,molecular_formula_drug2,smiles_drug2,cell_line_name,disease_cui,latent_0_drug1,latent_1_drug1,latent_2_drug1,latent_3_drug1,latent_4_drug1,latent_0_drug2,latent_1_drug2,latent_2_drug2,latent_3_drug2,latent_4_drug2,drug1_target_count,drug2_target_count,proteins_in_LCC,oc_drug1_drug2,oc_dis_drug1,oc_dis_drug2,ji_drug1_drug2,ji_dis_drug1,ji_dis_drug2,min_spl_dis_dru1,Closest_distance_dis_dru1,Dc_mean_dis_dru1,Dc_std_dis_dru1,Dc_zscore_dis_dru1,min_spl_dis_dru2,Closest_distance_dis_dru2,Dc_mean_dis_dru2,Dc_std_dis_dru2,Dc_zscore_dis_dru2,min_spl_dru1_dru2,obs_sep_dru1_dru2,sep_mean_dru1_dru2,sep_std_dru1_dru2,zscore_dru1_dru2,pvalue_dru1_dru2,ratio_links_dis_dru1,ratio_links_dis_dru2,synergy_zip,synergy_loewe,synergy_hsa,synergy_bliss
doxorubicin,C27H29NO11,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,Lapatinib,C29H26ClFN4O4S,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,HT29,C0338106,0.07928624,-0.25512946,0.5047785,-0.07861761,-0.0914699,0.025083175,0.012112469,-0.33900538,0.04253316,-0.08140227,1,2,238.0,0.0,0.0,1.0,0.0,0.0,0.0084033613445378,1.0,1.0,1.114,0.3937054736728968,-0.2895565533709469,0.0,0.0,0.9145,0.1947812876022745,-4.69500952199949,2.0,-inf,-inf,,,,0.074074074074074,0.0632462686567164,1.50847258695844,0.026663250075037,4.95652648568967,0.579488383811208
doxorubicin,C27H29NO11,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,Sorafenib,C21H16ClF3N4O3,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,HT29,C0338106,0.07928624,-0.25512946,0.5047785,-0.07861761,-0.0914699,-0.09031988,0.05298067,-0.095041685,0.06507606,0.020801008,1,10,238.0,0.0,0.0,0.2,0.0,0.0,0.008130081300813,1.0,1.0,1.114,0.3937054736728968,-0.2895565533709469,0.0,0.9,1.1135,0.124047369984212,-1.721116699428395,2.0,-inf,-inf,,,,0.074074074074074,0.0785112659317768,-5.83132201913649,-8.54597425431992,-0.516021677901186,-6.7870861951384
doxorubicin,C27H29NO11,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,Sunitinib,C22H27FN4O2,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,HT29,C0338106,0.07928624,-0.25512946,0.5047785,-0.07861761,-0.0914699,0.03032278,0.04484181,-0.34433344,0.06865776,-0.13290855,1,8,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.114,0.3937054736728968,-0.2895565533709469,1.0,1.125,1.1529464285714284,0.1505048635986118,-0.1856845546597083,2.0,-inf,-inf,,,,0.074074074074074,0.0681347279378319,-0.349457091426558,-1.46584562040948,7.57199209469501,-0.754380169792582
doxorubicin,C27H29NO11,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O,Vorinostat,C14H20N2O3,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,HT29,C0338106,0.07928624,-0.25512946,0.5047785,-0.07861761,-0.0914699,0.17290325,-0.017249381,-0.29870108,0.23054022,-0.08890957,1,4,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.114,0.3937054736728968,-0.2895565533709469,1.0,1.0,0.95775,0.1314436666408846,0.3214304734470823,2.0,-inf,-inf,,,,0.074074074074074,0.0550092290231879,6.06683197053093,4.42367770214265,9.9548980304247,4.90808197726097
metformin,C4H11N5,CN(C)C(=N)N=C(N)N,Bortezomib,C19H25BN4O4,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,HT29,C0338106,-0.07028518,0.038282685,-0.089310974,0.030378573,0.02647619,0.432284,1.4101224,2.739043,0.86354136,-1.2017273,1,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.931,0.2612259558313454,0.2641391426070548,1.0,1.0,1.0443333333333336,0.1761662724688115,-0.2516561922554292,1.0,-inf,-inf,,,,0.0346820809248554,0.0512423491693383,0.351655878329589,-8.53114316301644,-1.41948080029613,-0.820093893637047
metformin,C4H11N5,CN(C)C(=N)N=C(N)N,Dasatinib,C22H26ClN7O2S,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=NC(=NC(=C3)N4CCN(CC4)CCO)C,HT29,C0338106,-0.07028518,0.038282685,-0.089310974,0.030378573,0.02647619,-0.07183958,-0.00080411753,-0.086573705,0.114251636,0.12668216,1,10,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.931,0.2612259558313454,0.2641391426070548,1.0,1.0,1.0089,0.0938658084714556,-0.094816207785675,2.0,-inf,-inf,,,,0.0346820809248554,0.0565339519446635,2.92676664042748,-24.0084849030027,2.6916464686263,2.53503597819253
metformin,C4H11N5,CN(C)C(=N)N=C(N)N,Erlotinib,C22H23N3O4,COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC,HT29,C0338106,-0.07028518,0.038282685,-0.089310974,0.030378573,0.02647619,-0.053044267,0.06918139,-0.20834954,0.08374546,0.038711086,1,2,238.0,0.0,0.0,1.0,0.0,0.0,0.0084033613445378,1.0,1.0,0.931,0.2612259558313454,0.2641391426070548,0.0,0.0,1.297,0.2771118907589496,-4.680419871005164,2.0,-inf,-inf,,,,0.0346820809248554,0.0938018242122719,-4.62078730991392,-19.8943076547542,0.757002580953864,1.30233168333032
metformin,C4H11N5,CN(C)C(=N)N=C(N)N,Lapatinib,C29H26ClFN4O4S,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,HT29,C0338106,-0.07028518,0.038282685,-0.089310974,0.030378573,0.02647619,0.025083175,0.012112469,-0.33900538,0.04253316,-0.08140227,1,2,238.0,0.0,0.0,1.0,0.0,0.0,0.0084033613445378,1.0,1.0,0.931,0.2612259558313454,0.2641391426070548,0.0,0.0,0.9145,0.1947812876022745,-4.69500952199949,2.0,-inf,-inf,,,,0.0346820809248554,0.0632462686567164,-1.54982422173639,-16.2782894511294,-1.34091879038244,-0.95958525914174
metformin,C4H11N5,CN(C)C(=N)N=C(N)N,Sorafenib,C21H16ClF3N4O3,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,HT29,C0338106,-0.07028518,0.038282685,-0.089310974,0.030378573,0.02647619,-0.09031988,0.05298067,-0.095041685,0.06507606,0.020801008,1,10,238.0,0.0,0.0,0.2,0.0,0.0,0.008130081300813,1.0,1.0,0.931,0.2612259558313454,0.2641391426070548,0.0,0.9,1.1135,0.124047369984212,-1.721116699428395,2.0,-inf,-inf,,,,0.0346820809248554,0.0785112659317768,-0.124576011505919,-33.8435204371973,0.853388968626302,0.742404021407349
metformin,C4H11N5,CN(C)C(=N)N=C(N)N,Sunitinib,C22H27FN4O2,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,HT29,C0338106,-0.07028518,0.038282685,-0.089310974,0.030378573,0.02647619,0.03032278,0.04484181,-0.34433344,0.06865776,-0.13290855,1,8,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.931,0.2612259558313454,0.2641391426070548,1.0,1.125,1.1529464285714284,0.1505048635986118,-0.1856845546597083,2.0,-inf,-inf,,,,0.0346820809248554,0.0681347279378319,8.57917003691566,-16.4181847450579,12.3859978451166,12.2853059488471
metformin,C4H11N5,CN(C)C(=N)N=C(N)N,Vorinostat,C14H20N2O3,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,HT29,C0338106,-0.07028518,0.038282685,-0.089310974,0.030378573,0.02647619,0.17290325,-0.017249381,-0.29870108,0.23054022,-0.08890957,1,4,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.931,0.2612259558313454,0.2641391426070548,1.0,1.0,0.95775,0.1314436666408846,0.3214304734470823,2.0,-inf,-inf,,,,0.0346820809248554,0.0550092290231879,0.522087802499599,-25.710699396736,0.174094282616561,0.335284276893055
hydroxyurea,CH4N2O2,C(=O)(N)NO,Nilotinib,C28H22F3N7O,CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)N3C=C(N=C3)C)C(F)(F)F)NC4=NC=CC(=N4)C5=CN=CC=C5,HT29,C0338106,0.06906227,0.014562109,-0.3958776,0.07517242,-0.096907705,0.037370794,0.042315066,-0.33455017,0.08007887,-0.09842044,1,2,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.281,0.4960231849419944,-0.5665057774121193,1.0,1.0,0.9665,0.1874239845910869,0.1787391302830784,2.0,-inf,-inf,,,,0.0714285714285714,0.0402497085114652,1.27564326058599,-4.52336201075408,-6.33141634625221,-3.27182775075518
Romidepsin,C24H36N4O6S2,CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,Ixabepilone,C27H42N2O5S,CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,MCF7,C1134719,2.8588922,-2.1240406,2.3680072,1.0530713,-0.8017871,-0.013078162,0.103632994,-0.01459185,-0.027028926,-0.03252709,4,1,280.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9545,0.1137090585661494,0.400144021714248,1.0,1.0,0.953,0.2116388433156824,0.222076435798198,2.0,-inf,-inf,,,,0.0710873277410883,0.0336134453781512,-3.64958640748641,-6.49464213063752,-1.56925799825501,-4.50494613776845
anastrozole,C17H19N5,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,Vorinostat,C14H20N2O3,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,MCF7,C1134719,0.0009190347,0.08942803,-0.2636282,0.078725114,0.051823795,0.7843896,-0.010987288,-0.034644634,0.41812313,-0.42363846,1,4,280.0,0.0,0.0,0.25,0.0,0.0,0.0035335689045936,2.0,2.0,1.751,0.4505541032994816,0.5526528294305441,0.0,0.75,0.96475,0.1217371656479647,-1.7640463276515457,3.0,-inf,-inf,,,,0.0,0.0881410876891149,-8.37615744919893,-1.70146934452968,0.162569913556384,-1.85955666436163
raloxifene,C28H27NO4S,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,hydroxyurea,CH4N2O2,C(=O)(N)NO,HT29,C0338106,0.060907505,0.0036040111,-0.4384143,0.076310426,-0.095880345,0.06906227,0.014562109,-0.3958776,0.07517242,-0.096907705,2,1,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9295,0.1740107755284137,0.405147323698286,1.0,1.0,1.281,0.4960231849419944,-0.5665057774121193,2.0,-inf,-inf,,,,0.0268294920307304,0.0714285714285714,1.19265038043865,-2.98557514987554,-2.41733386958515,5.39639852636593
raloxifene,C28H27NO4S,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,mitoxantrone,C22H28N4O6,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,HT29,C0338106,0.060907505,0.0036040111,-0.4384143,0.076310426,-0.095880345,0.0037553068,-0.09875173,-0.011383481,-0.30356583,-0.16248527,2,1,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9295,0.1740107755284137,0.405147323698286,1.0,1.0,1.129,0.4103157320893265,-0.3143920398643561,1.0,-inf,-inf,,,,0.0268294920307304,0.074074074074074,0.309786066053255,-28.2678606549395,-2.46922059186845,-0.890093547851801
Sunitinib,C22H27FN4O2,CCN(CC)CCNC(=O)C1=C(NC(=C1C)C=C2C3=C(C=CC(=C3)F)NC2=O)C,Ixabepilone,C27H42N2O5S,CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,HT29,C0338106,0.03032278,0.04484181,-0.34433344,0.06865776,-0.13290855,0.0003915485,0.105533384,-0.21851906,0.04953243,0.010057061,8,1,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.125,1.1529464285714284,0.1505048635986118,-0.1856845546597083,1.0,1.0,0.934,0.2482820976228451,0.265826656983774,2.0,-inf,-inf,,,,0.0681347279378319,0.0546218487394958,9.95236699307119,0.178573292922419,9.00876455555555,7.82802104918163
anastrozole,C17H19N5,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,Bortezomib,C19H25BN4O4,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,HT29,C0338106,0.06502693,0.022468867,-0.49655464,0.045374162,-0.11343424,0.432284,1.4101224,2.739043,0.86354136,-1.2017273,1,3,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.778,0.4297859932571093,0.5165361446928163,1.0,1.0,1.0443333333333336,0.1761662724688115,-0.2516561922554292,3.0,-inf,-inf,,,,0.0,0.0512423491693383,0.95375152225453,-25.8305188892885,-1.22334282222222,2.66268834216963
Imatinib,C29H31N7O,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Ixabepilone,C27H42N2O5S,CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,HT29,C0338106,0.05134874,0.036380008,-0.41808,0.052398644,-0.11900714,0.0003915485,0.105533384,-0.21851906,0.04953243,0.010057061,8,1,238.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.125,1.152875,0.1476519873723344,-0.1887885188413186,1.0,1.0,0.934,0.2482820976228451,0.265826656983774,2.0,-inf,-inf,,,,0.0535567527472243,0.0546218487394958,9.83843776535571,-8.72607655179485,8.91332177777778,8.0863721532388
Imatinib,C29H31N7O,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,Ixabepilone,C27H42N2O5S,CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,MCF7,C1134719,0.07007358,0.005727382,-0.40826884,0.07715105,-0.09481016,-0.013078162,0.103632994,-0.01459185,-0.027028926,-0.03252709,8,1,280.0,0.0,0.125,0.0,0.0,0.0034843205574912,0.0,0.0,0.875,1.118625,0.1356926098761461,-1.7954183372430492,1.0,1.0,0.953,0.2116388433156824,0.222076435798198,2.0,-inf,-inf,,,,0.0985889310896961,0.0336134453781512,2.67790976858633,-11.534798089746,1.83446016666667,1.92942502297
hydroxyurea,CH4N2O2,C(=O)(N)NO,Sorafenib,C21H16ClF3N4O3,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,HT29,C0338106,0.06906227,0.014562109,-0.3958776,0.07517242,-0.096907705,-0.09031988,0.05298067,-0.095041685,0.06507606,0.020801008,1,10,238.0,0.0,0.0,0.2,0.0,0.0,0.008130081300813,1.0,1.0,1.281,0.4960231849419944,-0.5665057774121193,0.0,0.9,1.1135,0.124047369984212,-1.721116699428395,2.0,-inf,-inf,,,,0.0714285714285714,0.0785112659317768,0.357847656830923,-7.5436939549866,-2.87346366666667,0.283884467829006
letrozole,C17H11N5,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,IMIQUIMOD,C14H16N4,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,MCF7,C1134719,0.017411357,0.027261721,-0.2470447,0.05273988,-0.03671463,-0.043771975,0.06340628,-0.25786212,0.073197186,-0.05751042,1,2,280.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.765,0.4536242938820627,0.5180498557272982,2.0,2.0,1.639,0.3566216482492334,1.0122773022116331,4.0,-inf,-inf,,,,0.0,0.0,2.83540053705441,0.395311048463529,-0.0531511555555557,3.60693975542489
letrozole,C17H11N5,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,IMIQUIMOD,C14H16N4,CC(C)CN1C=NC2=C1C3=CC=CC=C3N=C2N,HT29,C0338106,0.032590725,0.043295726,-0.3212367,0.113665745,-0.060874358,0.07475897,0.05479259,-0.42913958,0.08285704,-0.11144397,1,2,238.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.769,0.4512637809530032,0.5118957242971325,2.0,2.0,1.628,0.3414908490721237,1.089341049725853,4.0,-inf,-inf,,,,0.0,0.0,4.8885012143175,-2.50639954261973,-2.0633317,4.37139597321481
Lapatinib,C29H26ClFN4O4S,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,Ixabepilone,C27H42N2O5S,CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,MCF7,C1134719,-0.013890738,0.088833846,-0.1498229,0.14217056,0.023009479,-0.013078162,0.103632994,-0.01459185,-0.027028926,-0.03252709,2,1,280.0,0.0,1.0,0.0,0.0,0.0071428571428571,0.0,0.0,0.0,0.9295,0.1810517881712302,-5.133890194560923,1.0,1.0,0.953,0.2116388433156824,0.222076435798198,2.0,-inf,-inf,,,,0.0832950631458094,0.0336134453781512,1.08829830866359,-7.77172178092365,0.884432936666669,0.351445649747778
hydroxyurea,CH4N2O2,C(=O)(N)NO,Ixabepilone,C27H42N2O5S,CC1CCCC2(C(O2)CC(NC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,MCF7,C1134719,0.0003081467,0.075151585,-0.2692255,0.122339964,-0.04727009,-0.013078162,0.103632994,-0.01459185,-0.027028926,-0.03252709,1,1,280.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.213,0.4665093782551429,-0.4565824609928984,1.0,1.0,0.953,0.2116388433156824,0.222076435798198,2.0,-inf,-inf,,,,0.0714285714285714,0.0336134453781512,1.54445174255655,-17.7677313660463,-0.701109480757336,-0.281666709981799
