name,synonyms,cellosaurus_accession,disease_id,id,tissue_id,depmap_id,cell_model_passport_id,cosmic_id,ccle_name,expression_data,UMLS_CUI,tumour_location
UACC62,UACC62; UACC 62; UACC.62; UACC62; UACC-62,CVCL_1780,C3224,85,10.0,ACH-000425,SIDM00107,905976,UACC62_SKIN,BROAD_DepMap,C0025202,Skin (Malignant melanoma)
DU4475,DU4475; DU-4475; Du-4475; DU 4475; Du 4475; Duke University 4475,CVCL_1183,C4872,365,2.0,ACH-000258,SIDM01001,906844,DU4475_BREAST,BROAD_DepMap,C0678222,Breast (Carcinoma; Ductal carcinoma)
TGW,TGW; TOG; TGW-nu; TGW-I-nu; TGW-nu-1,CVCL_1771,C4827,1547,21.0,ACH-001674,SIDM00324,910780,TGW_AUTONOMIC_GANGLIA,BROAD_DepMap,C0559460,Autonomic ganglia (Neuroblastoma)
P12-Ichikawa,P12-Ichikawa; P12-ICHIKAWA; P12/ICHIKAWA; P12/Ichikawa; p12/Ichikawa; P12ichikawa; P12/ICH; P12/ICh; P12-ICH; P-12; P12,CVCL_1630,C7953,1217,4.0,ACH-000372,SIDM00463,909251,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0279583,Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic T cell leukaemia)
CFPAC-1,CFPAC-1; CFPac-1; CF PAC-1; CF-PAC1; CF-Pac1; CF Pac1; CFPAC1; CFPac1; CFPAC,CVCL_1119,C2975,253,12.0,ACH-000138,SIDM00130,906821,CFPAC1_PANCREAS,BROAD_DepMap,C0010674,Pancreas (Carcinoma; Ductal carcinoma)
RL,RL,CVCL_1660,C8851,1293,4.0,ACH-000371,SIDM01089,910861,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0079744,Haematopoietic and lymphoid (Lymphoid neoplasm; B cell lymphoma unspecified)
NCI-H1355,NCI-H1355; H1355; H-1355; NCIH1355,CVCL_1464,C3512,1011,7.0,ACH-000666,SIDM00645,724866,NCIH1355_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Non small cell carcinoma)
LS411N,LS411N; LS-411N; LS-411; LS411,CVCL_1385,C5543,863,6.0,ACH-000985,SIDM00660,907794,LS411N_LARGE_INTESTINE,BROAD_DepMap,C1332866,Large intestine; Caecum (Carcinoma; Adenocarcinoma)
CAL-72,CAL-72; CAL 72; CAL72; Cal72; Centre Antoine Lacassagne-72,CVCL_1113,C9145,237,11.0,ACH-001715,SIDM00930,906827,CAL72_BONE,BROAD_DepMap,C0029463,Bone (Osteosarcoma; Osteoblastic)
NCI-H2085,NCI-H2085; H2085; H-2085; NCIH2085,CVCL_1523,C3512,1063,7.0,ACH-000451,SIDM00709,687812,NCIH2085_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Non small cell carcinoma)
Reh,Reh; REH,CVCL_1650,C9140,1275,4.0,ACH-000960,SIDM00447,909696,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0279584,Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic B cell leukaemia)
MFE-296,MFE-296; MFE 296; MFE296,CVCL_1406,C7359,914,14.0,ACH-000879,SIDM00334,908130,MFE296_ENDOMETRIUM,BROAD_DepMap,C1153706,Endometrium (Carcinoma; Adenocarcinoma)
OS-RC-2,OS-RC-2; OSRC2; RC-2,CVCL_1626,C9385,1196,5.0,ACH-000159,SIDM00239,909250,OSRC2_KIDNEY,BROAD_DepMap,C1861854,Kidney (Carcinoma; Renal cell carcinoma)
DND-41,DND-41; DND 41; DND41; Dnd41,CVCL_2022,C7953,359,4.0,ACH-000981,SIDM00946,1297446,DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0279583,
A498,A498; A498,CVCL_1056,C9385,6,5.0,ACH-000555,SIDM00124,905948,A498_KIDNEY,BROAD_DepMap,C1861854,Kidney (Carcinoma)
SK-N-MC-IXC,SK-N-MC-IXC; MC-IXC; MCIXC,CVCL_1398,C7542,1377,21.0,ACH-002160,SIDM01246,908118,MCIXC_BONE,CellModelPassport,C0877849,Autonomic ganglia (Neuroblastoma)
JIMT-1,JIMT-1; JIMT1; JIMT,CVCL_2077,C4017,705,2.0,ACH-000711,SIDM01037,1298157,JIMT1_BREAST,BROAD_DepMap,C1527349,
SW1783,SW1783; SW-1783; SW 1783,CVCL_1722,C9477,1495,1.0,ACH-000883,SIDM01164,909750,SW1783_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0334579,Central nervous system; Brain (Glioma; Astrocytoma Grade III; Anaplastic)
HT144,HT144; HT 144; HT144; HT144-mel; HT144mel,CVCL_0318,C3224,27,10.0,ACH-000322,SIDM00695,907067,HT144_SKIN,BROAD_DepMap,C0025202,Skin (Malignant melanoma)
U266B1,U266B1; U266-B1; U266 B1; U-266; U 266; U266; U266S; U266BL; U266 Bl; 266 Bl,CVCL_0566,C3242,1578,4.0,ACH-000626,SIDM00417,753615,U266B1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0026764,Haematopoietic and lymphoid (Lymphoid neoplasm; Plasma cell myeloma)
MZ-MEL-7,MZ-MEL-7; MZ-Mel-7; MZ7-MEL; MZ7-mel; MZ7MEL; MZ7,CVCL_1436,C3224,968,10.0,ACH-002166,SIDM00516,753596,MZ7MEL_SKIN,CellModelPassport,C0025202,Skin (Malignant melanoma)
GCIY,GCIY,CVCL_1228,C4004,433,16.0,ACH-000047,SIDM00274,906869,GCIY_STOMACH,CellModelPassport,C0278701,Stomach (Carcinoma; Adenocarcinoma)
SU-DHL-4,SU-DHL-4; SUDHL4; Sudhl4; SUDHL-4; Sudhl-4; SuDHL 4; SUD4; SUD-4; SU4; Stanford University-Diffuse Histiocytic Lymphoma-4; DHL-4; DHL4,CVCL_0539,C36080,1463,4.0,ACH-000365,SIDM00405,1331035,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C1333295,
COLO 678,COLO 678; Colo-678; COLO-678; COLO678,CVCL_1129,C4910,280,6.0,ACH-000350,SIDM00957,910689,COLO678_LARGE_INTESTINE,BROAD_DepMap,,Large intestine; Colon (Carcinoma)
NCI-H2342,NCI-H2342; H2342; H-2342; NCIH2342,CVCL_1549,C3512,1083,7.0,ACH-000951,SIDM00727,687819,NCIH2342_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Non small cell carcinoma)
Onda 10,Onda 10; no.10; no-10; Case 6,CVCL_3075,C3058,1192,1.0,ACH-001605,SIDM00574,908452,NO10_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0017636,Central nervous system; Brain (Glioma; Astrocytoma Grade III; Anaplastic)
IPC-298,IPC-298; IPC 298; IPC298,CVCL_1307,C3510,669,10.0,ACH-000915,SIDM01059,907171,IPC298_SKIN,BROAD_DepMap,C0151779,Skin (Malignant melanoma)
SHP-77,SHP-77; SHP77; Shadyside Hospital Pittsburgh-77,CVCL_1693,C4917,1340,7.0,ACH-000790,SIDM01078,724872,SHP77_LUNG,BROAD_DepMap,C0149925,Lung (Carcinoma; Small cell carcinoma)
SACC-83,SACC-83; SACC83,CVCL_H589,C8026,1311,19.0,,SIDM00034,1299049,,,C0279751,
OCI-M1,OCI-M1; OCI M1; OCIM1,CVCL_2149,C9154,1182,4.0,ACH-000751,SIDM00458,1330985,OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0220615,
IHH-4,IHH-4; IHH4,CVCL_2960,C4035,658,18.0,ACH-001528,SIDM00600,1240154,IHH4_THYROID,BROAD_DepMap,C3149311,
PFSK-1,PFSK-1; PFSk-1; PFSK1; PFSK,CVCL_1642,C3716,1248,1.0,ACH-001711,SIDM01132,683667,PFSK1_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0206663,Central nervous system; Brain (Primitive neuroectodermal tumour-medulloblastoma)
JHOS-3,JHOS-3; JHOS3,CVCL_4648,C7550,693,8.0,ACH-002146,SIDM00304,1480358,JHOS3_OVARY,CellModelPassport,C1335177,
QGP-1,QGP-1; QGP 1; QGP1,CVCL_3143,C95595,1263,12.0,ACH-000347,SIDM00360,1298534,QGP1_PANCREAS,BROAD_DepMap,C1368041,
SNU-1,SNU-1; SNU1; NCI-SNU-1,CVCL_0099,C4004,1395,16.0,ACH-000932,SIDM01146,908444,SNU1_STOMACH,BROAD_DepMap,C0278701,Stomach (Carcinoma; Adenocarcinoma)
RERF-LC-KJ,RERF-LC-KJ; RERFLCKJ; Radiation Effects Research Foundation-Lung Cancer-KJ,CVCL_1654,C3512,1281,7.0,ACH-000482,SIDM00356,1298537,RERFLCKJ_LUNG,BROAD_DepMap,C0152013,
LC-2/ad,LC-2/ad; LC-2-Ad; LC-2-ad; LC-2 ad; LC2/Ad; LC2/AD,CVCL_1373,C3512,833,7.0,ACH-002157,SIDM00297,907786,LC2AD_LUNG,CellModelPassport,C0152013,Lung (Carcinoma; Adenocarcinoma)
JeKo-1,JeKo-1; Jeko-1; JEKO-1; JeKo 1; Jeko1; JEKO1; JEKO,CVCL_1865,C4337,681,4.0,ACH-000357,SIDM01038,1327765,JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0334634,
NUGC-4,NUGC-4; NUGC4; NU-GC-4,CVCL_3082,C5250,1166,16.0,ACH-000674,SIDM00570,1298357,NUGC4_STOMACH,BROAD_DepMap,C1335965,
HL-60,HL-60; HL 60; HL60,CVCL_0002,C9154,557,4.0,ACH-000002,SIDM00829,905938,HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0220615,no access
NCI-H1623,NCI-H1623; H1623; H-1623; NCIH1623,CVCL_1481,C3512,1027,7.0,ACH-000744,SIDM00747,687798,NCIH1623_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Non small cell carcinoma)
BB30-HNC,BB30-HNC; BB30 HNC; BB30HNC; BB30-SCCHN,CVCL_1076,C34447,173,23.0,ACH-002212,SIDM00172,753531,BB30HNC_UPPER_AERODIGESTIVE_TRACT,CellModelPassport,C1168401,Upper aerodigestive tract; Head neck (Carcinoma; Squamous cell carcinoma)
HARA [Human squamous cell lung carcinoma],HARA [Human squamous cell lung carcinoma]; KCC-C1,CVCL_2914,C3493,457,7.0,ACH-000843,SIDM00598,1240142,HARA_LUNG,BROAD_DepMap,C0149782,
HCC827,HCC827; HCC-827; HCC0827,CVCL_2063,C3512,523,7.0,ACH-000012,SIDM01067,1240146,HCC827_LUNG,BROAD_DepMap,C0152013,
STS-0421,STS-0421; STS 0421; STS0421,CVCL_X508,C4004,1459,13.0,ACH-002306,SIDM00041,1299061,STS0421_SOFT_TISSUE,CellModelPassport,C0278701,
BB49-HNC,BB49-HNC; BB49 HNC; BB49HNC; BB49-SCCHN,CVCL_1077,C4041,174,23.0,ACH-002213,SIDM00174,753532,BB49HNC_UPPER_AERODIGESTIVE_TRACT,CellModelPassport,C0280300,Upper aerodigestive tract; Head neck (Carcinoma; Squamous cell carcinoma)
WSU-DLCL2,WSU-DLCL2; WSU-DLCL-2; WSU-DLCL(2); WSUDLCL2,CVCL_1902,C36080,1620,4.0,ACH-000534,SIDM00413,1331050,WSUDLCL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C1333295,
NCI-H1048,NCI-H1048; H1048; H-1048; NCIH1048,CVCL_1453,C4917,1001,7.0,ACH-000866,SIDM00654,687995,NCIH1048_LUNG,BROAD_DepMap,C0149925,no access
CAL-27,CAL-27; Cal-27; CAL 27; Cal 27; CAL27; Cal27; Centre Antoine Lacassagne-27,CVCL_1107,C4648,230,23.0,ACH-000832,SIDM00937,910916,CAL27_UPPER_AERODIGESTIVE_TRACT,BROAD_DepMap,C0349566,Upper aerodigestive tract; Mouth; Tongue (Carcinoma; Squamous cell carcinoma)
NCI-H522,NCI-H522; NCI.H522; H522; H-522; NCI-522; NCI522; NCIH522,CVCL_1567,C3512,53,7.0,ACH-000343,SIDM00116,905944,NCIH522_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Non small cell carcinoma)
LOX IMVI,LOX IMVI; LOX/IMVI; LOX IMVI; LOXIM-VI; LOXIMVI; LOX,CVCL_1381,C3802,35,10.0,ACH-000750,SIDM00149,905974,LOXIMVI_SKIN,BROAD_DepMap,C0206735,Skin (Malignant melanoma)
Mel JuSo,Mel JuSo; MEL-Juso; MEL-JUSO; Mel-Juso; Mel Juso; MelJuSo; JuSo,CVCL_1403,C3510,908,10.0,ACH-000881,SIDM00336,908125,MELJUSO_SKIN,BROAD_DepMap,C0151779,Skin (Malignant melanoma)
SU-DHL-8,SU-DHL-8; SUDHL8; SUDHL-8; SuDHL 8; Stanford University-Diffuse Histiocytic Lymphoma-8; DHL-8; DHL8,CVCL_2207,C36080,1466,4.0,ACH-000656,SIDM00423,1331038,SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C1333295,
HCE-4,HCE-4; HCE4,CVCL_1271,C4024,527,26.0,ACH-002243,SIDM00052,753559,HCE4_OESOPHAGUS,CellModelPassport,C0279626,no access
KP-N-YS,KP-N-YS; KPNYS,CVCL_1342,C3270,789,21.0,ACH-002261,SIDM00157,946363,KPNYS_AUTONOMIC_GANGLIA,CellModelPassport,C2751421,no access
IMR-5,IMR-5; IMR 5; IMR5; IMR-05; Institute for Medical Research-5,CVCL_1306,C3270,663,21.0,ACH-002248,SIDM01206,907170,IMR5_AUTONOMIC_GANGLIA,CellModelPassport,C2751421,no access
MDA-MB-157,MDA-MB-157; MDA-MB157; MDAMB157; MDA-157; MDA157; MB 157; MB157; MD Anderson-Metastatic Breast-157,CVCL_0618,C4872,892,2.0,ACH-000621,SIDM00529,925338,MDAMB157_BREAST,BROAD_DepMap,C0678222,no access
HAL-01,HAL-01; HAL01; HAL-1,CVCL_1242,C8644,456,4.0,ACH-002241,SIDM00289,949153,HAL01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CellModelPassport,C4227542,Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic leukaemia)
WSU-NHL,WSU-NHL; WSU-NHL-1; WSUNHL,CVCL_1793,C36080,1622,4.0,ACH-001709,SIDM00412,909785,WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C1333295,no access
42-MG-BA,42-MG-BA; 42MGBA,CVCL_1798,C3058,128,1.0,ACH-000323,SIDM00982,687561,42MGBA_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0017636,no access
CPC-N,CPC-N,CVCL_1146,C4917,321,7.0,ACH-001049,SIDM00953,753547,CPCN_LUNG,CellModelPassport,C0149925,Lung (Carcinoma; Small cell carcinoma)
MRK-nu-1,MRK-nu-1; MRK-NU-1; Mrk-nu1; MRKnu-1; MRKnu1; MRKNU1,CVCL_1428,C4872,958,2.0,ACH-002163,SIDM00562,908151,MRKNU1_BREAST,CellModelPassport,C0678222,no access
TE-15,TE-15; TE15; Te15,CVCL_1763,C4024,1535,26.0,ACH-000353,SIDM00249,753614,TE15_OESOPHAGUS,BROAD_DepMap,C0279626,Oesophagus (Carcinoma)
SNU-283,SNU-283; SNU283; NCI-SNU-283,CVCL_5044,C9383,1416,6.0,ACH-000708,SIDM00215,1659929,SNU283_LARGE_INTESTINE,BROAD_DepMap,C0149978,
CAL-33,CAL-33; Cal-33; CAL 33; CAL33; Centre Antoine Lacassagne-33,CVCL_1108,C4648,232,23.0,ACH-000518,SIDM00942,753541,CAL33_UPPER_AERODIGESTIVE_TRACT,BROAD_DepMap,C0349566,Upper aerodigestive tract; Head neck (Carcinoma; Squamous cell carcinoma)
SNG-M,SNG-M; SNGM,CVCL_1707,C7359,1394,14.0,ACH-000974,SIDM00373,909735,SNGM_ENDOMETRIUM,BROAD_DepMap,C1153706,Endometrium (Carcinoma; Adenocarcinoma)
NCI-H630,NCI-H630; H630; H-630; NCIH630,CVCL_1572,,1121,6.0,ACH-002287,,908482,NCIH630_LARGE_INTESTINE,,,no access
Daudi,Daudi; DAUDI; NK-10A; NK-10a; NK 10a; NK10a; GM03190; GM3190; GM03190A; GM17346,CVCL_0008,C27694,341,4.0,ACH-000786,SIDM00845,906831,DAUDI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C1333427,no access
NCI-H1304,NCI-H1304; H1304; H-1304; NCIH1304,CVCL_1462,C4917,1008,7.0,ACH-002169,SIDM00648,753599,NCIH1304_LUNG,CellModelPassport,C0149925,no access
Daoy,Daoy; DAOY; D324 Med; D-324 Med; D324 MED; D-324MED; D324,CVCL_1167,C3222,340,1.0,ACH-000211,SIDM00887,906833,DAOY_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0025149,Central nervous system; Posterior fossa (Primitive neuroectodermal tumour-medulloblastoma; Desmoplastic)
786-0,786-0; 786O; 786-0; 786.O; 786-O RCC; RCC 786-O; RCC_7860; RCC 7860; 7860; 786-0WT,CVCL_1051,C9385,1,5.0,ACH-000649,SIDM00125,905947,786O_KIDNEY,BROAD_DepMap,,Kidney (Carcinoma; Clear cell renal cell carcinoma)
SNU-182,SNU-182; SNU182; NCI-SNU-182,CVCL_0090,C3099,1411,31.0,ACH-000483,SIDM01151,1240216,SNU182_LIVER,BROAD_DepMap,C0019204,
KP-3,KP-3; KP3,CVCL_3005,C5721,784,12.0,ACH-000108,SIDM00571,1298219,KP3_PANCREAS,BROAD_DepMap,C1335299,no access
EC-GI-10,EC-GI-10; ECGI10; EC-GI,CVCL_1187,C4024,371,26.0,ACH-000305,SIDM00278,753555,ECGI10_OESOPHAGUS,BROAD_DepMap,C0279626,Oesophagus (Carcinoma)
D-566MG,D-566MG; D566MG,CVCL_1166,C3058,336,1.0,ACH-002231,SIDM00206,946377,D566MG_CENTRAL_NERVOUS_SYSTEM,CellModelPassport,C0017636,no access
SBC-1,SBC-1; SBC1,CVCL_1676,C4917,1317,7.0,ACH-002196,SIDM00365,713885,SBC1_LUNG,CellModelPassport,C0149925,Lung (Carcinoma; Small cell carcinoma)
U-87MG ATCC,U-87MG ATCC; U-87MG; U-87 MG; U87 MG; U-87-MG; U87-MG; U87MG; U-87; U87; 87 MG; 87MG,CVCL_0022,C3058,1573,1.0,ACH-000075,SIDM01189,687590,U87MG_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0017636,no access
OVCAR-8,OVCAR-8; NIH:OVCAR-8; OVCAR8; Ovcar8; OVCAR.8; OVCA8,CVCL_1629,C105555,59,8.0,ACH-000696,SIDM00090,905991,OVCAR8_OVARY,BROAD_DepMap,C3642254,no access
RKO,RKO; ,CVCL_0504,C4910,62,6.0,ACH-000943,SIDM01090,909698,RKO_LARGE_INTESTINE,BROAD_DepMap,C0699790,Large intestine; Colon (Carcinoma)
SIG-M5,SIG-M5; SigM5; SIGM5,CVCL_1694,C9154,1341,4.0,ACH-000112,SIDM00396,909715,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0220615,no access
P32/ISH,P32/ISH; P32/ish; P32-ISH; P32 ISH; P32/Ishida; P32; Ishida,CVCL_3119,C27694,1220,4.0,ACH-002293,SIDM00362,1330987,P32ISH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CellModelPassport,C1333427,no access
MDA-MB-231,MDA-MB-231; MDA-MB 231;  MDA.MB.231;  MDA MB 231;  MDA MB231;  MDA Mb231;  MDA-MB231;  MDAMB-231;  MDAMB231;  MDA-231;  MDA231;  MB231; MDA-MB-231/ATCC,CVCL_0062,C5214,39,2.0,ACH-000768,SIDM00146,905960,MDAMB231_BREAST,BROAD_DepMap,C0858252,no access
ST486,ST486; ST 486,CVCL_1712,C2912,1458,4.0,ACH-000567,SIDM01198,910906,ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0006413,Haematopoietic and lymphoid (Lymphoid neoplasm; Burkitt lymphoma)
BxPC-3,BxPC-3; BxPc-3; BXPC-3; Bx-PC3; BXPC3; BxPC3; BxPc3; Biopsy xenograft of Pancreatic Carcinoma line-3,CVCL_0186,C9120,213,12.0,ACH-000535,SIDM00132,906693,BXPC3_PANCREAS,BROAD_DepMap,C1335302,no access
DMS 53,DMS 53; DMS-53; DMS53,CVCL_1177,C4917,357,7.0,ACH-000698,SIDM00523,907295,DMS53_LUNG,BROAD_DepMap,C0149925,no access
HA7-RCC,HA7-RCC; HA7RCC,CVCL_1241,C9385,455,5.0,ACH-002139,SIDM00188,753558,HA7RCC_KIDNEY,CellModelPassport,C1861854,no access
EFM-192A,EFM-192A; EFM192A; EFM192,CVCL_1812,C4872,377,2.0,ACH-000117,SIDM01002,1290798,EFM192A_BREAST,BROAD_DepMap,C0678222,no access
CCRF-CEM,CCRF-CEM; CCRF/CEM; CCRFCEM; CCRF.CEM; CCRF CEM; CCRF; CEM; CEM-CCRF; CEM-CCRF (CAMR); CCRF/CEM/0; CEM/0; CEM-0; CCRF-CEM/S; GM03671,CVCL_0207,C7953,12,4.0,ACH-001738,SIDM00121,905952,CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CellModelPassport,C0279583,Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic leukaemia)
SW13,SW13; SW-13; SW 13; Scott and White No. 13,CVCL_0542,C9325,1488,30.0,ACH-001401,SIDM00814,909744,SW13_ADRENAL_CORTEX,BROAD_DepMap,C0206686,Adrenal gland; Adrenal gland (Adrenal cortical carcinoma)
SNU-C2B,SNU-C2B; SNUC2B; NCI-SNU-C2B,CVCL_1710,C5543,1454,6.0,ACH-001199,SIDM00781,909740,SNUC2B_LARGE_INTESTINE,CellModelPassport,C1332866,no access
ES2,ES2; ES-2,CVCL_3509,C40078,19,8.0,ACH-000906,SIDM00861,1240128,ES2_OVARY,BROAD_DepMap,C1518693,
NCI-H1563,NCI-H1563; H1563; H-1563; NCIH1563,CVCL_1475,C3512,1022,7.0,ACH-000892,SIDM00751,753600,NCIH1563_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Adenocarcinoma)
T.T,T.T; T-T; T_T_; T. T; tdott; TT,CVCL_3174,C4024,1513,26.0,ACH-000561,SIDM00322,1299064,TT_OESOPHAGUS,BROAD_DepMap,C0279626,no access
CAL-85-1,CAL-85-1; Cal-85-1; CAL 85-1; CAL85-1; CAL851; Centre Antoine Lacassagne-85-1,CVCL_1114,C4872,239,11.0,ACH-000857,SIDM00928,910852,CAL851_BREAST,BROAD_DepMap,C0678222,Breast (Carcinoma)
NCI-H526,NCI-H526; H526; H-526; NCIH526,CVCL_1569,C4917,1119,7.0,ACH-000767,SIDM01128,688025,NCIH526_LUNG,BROAD_DepMap,C0149925,Lung (Carcinoma; Small cell carcinoma)
T24,T24; T-24; T 24,CVCL_0554,C4912,1515,17.0,ACH-000018,SIDM01184,724812,T24_URINARY_TRACT,BROAD_DepMap,C0699885,no access
NCI-H1975,NCI-H1975; H1975; H-1975; NCIH1975,CVCL_1511,C3512,1053,7.0,ACH-000587,SIDM00759,924244,NCIH1975_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Adenocarcinoma)
NCI-H2869,NCI-H2869; H2869; H-2869; NCIH2869,CVCL_V001,C45665,1103,20.0,ACH-002135,SIDM00519,1240138,NCIH2869_PLEURA,CellModelPassport,C1709570,
SK-N-AS,SK-N-AS; SKN-AS; SKNAS,CVCL_1700,C3270,1371,21.0,ACH-000260,SIDM01101,724828,SKNAS_AUTONOMIC_GANGLIA,BROAD_DepMap,C2751421,no access
SK-UT-1,SK-UT-1; SK UT 1; SKUT-1; SKUT1; Skut1,CVCL_0533,C6340,1383,13.0,ACH-000939,SIDM01113,909732,SKUT1_SOFT_TISSUE,BROAD_DepMap,C3549860,no access
VA-ES-BJ,VA-ES-BJ; VAESBJ,CVCL_1785,C3714,1596,13.0,ACH-001702,SIDM01179,688121,VAESBJ_SOFT_TISSUE,BROAD_DepMap,C0205944,no access
NCI-H1568,NCI-H1568; H1568; H-1568; NCIH1568,CVCL_1476,C3512,1023,7.0,ACH-000869,SIDM00750,1298348,NCIH1568_LUNG,BROAD_DepMap,C0152013,no access
RWPE-1,RWPE-1; RWPE1,CVCL_3791,,1308,9.0,,SIDM00020,1331026,,,,no access
KYSE-150,KYSE-150; KYSE 150; KYSE150; Kyse150; KY150,CVCL_1348,C4024,806,26.0,ACH-000855,SIDM01031,907317,KYSE150_OESOPHAGUS,BROAD_DepMap,C0279626,no access
SK-N-FI,SK-N-FI; SK_N_FI; SKNFI; SK-N-F1; SKNF1,CVCL_1702,C3270,1375,21.0,ACH-000341,SIDM01099,688087,SKNFI_AUTONOMIC_GANGLIA,BROAD_DepMap,C2751421,Autonomic ganglia (Neuroblastoma)
