name,synonyms,cellosaurus_accession,disease_id,id,tissue_id,depmap_id,cell_model_passport_id,cosmic_id,ccle_name,expression_data,UMLS_CUI,Tumour_Location
HOP-92,HOP-92; HOP 92; HOP92; Hop92,CVCL_1286,C2926,25,7.0,ACH-000825,SIDM00134,905973.0,HOP92_LUNG,BROAD_DepMap,C0007131,Lung (Carcinoma; Large cell carcinoma)
HS 578T,HS 578T; HS 578T; Hs-578T; HS-578T; Hs_578t; Hs-578-T; HS-578-T; Hs 578.T; HS578T; Hs578T; Hs578t; HS0578T; 578T; HS578; Hs578; Homo sapiens No. 578,CVCL_0332,C4194,26,2.0,ACH-000148,SIDM00135,905957.0,HS578T_BREAST,BROAD_DepMap,C1134719,Breast (Carcinoma)
HT144,HT144; HT 144; HT144; HT144-mel; HT144mel,CVCL_0318,C3224,27,10.0,ACH-000322,SIDM00695,907067.0,HT144_SKIN,BROAD_DepMap,C0025202,Skin (Malignant melanoma)
HT29,HT29; HT 29; HT29,CVCL_0320,C4349,28,6.0,ACH-000552,SIDM00136,905939.0,HT29_LARGE_INTESTINE,BROAD_DepMap,C0338106,Large intestine; Colon (Carcinoma)
IGROV1,IGROV1; IGROV1; IGROV 1; IGR-OV1; Igrov-1; IGR.OV1; IGROV; OV1/P; OV1/p; OV1-P,CVCL_1304,C7979,29,8.0,ACH-000966,SIDM00151,905968.0,IGROV1_OVARY,BROAD_DepMap,C0346163,Ovary (Carcinoma)
K-562,K-562; K562; K 562,CVCL_0004,C3174,30,4.0,ACH-000551,SIDM00791,905940.0,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0023473,Haematopoietic and lymphoid (Haematopoietic neoplasm; Chronic myeloid leukaemia)
KM12,KM12; KM-12; KM.12,CVCL_1331,C4910,31,6.0,ACH-000969,SIDM00150,905989.0,KM12_LARGE_INTESTINE,BROAD_DepMap,C0699790,Large intestine; Colon (Carcinoma; Adenocarcinoma)
KPL1,KPL1; KPL1,CVCL_2094,C4194,32,2.0,ACH-000028,SIDM00147,,KPL1_BREAST,BROAD_DepMap,C1134719,No COSMIC ID
LNCAP,LNCAP; LNCAP; LNCap,CVCL_0395,C4863,33,9.0,,,,,,C0600139,No COSMIC ID
LOVO,LOVO; LOVO,CVCL_0399,C4349,34,6.0,ACH-000950,SIDM00839,907790.0,LOVO_LARGE_INTESTINE,BROAD_DepMap,C0338106,Large intestine; Colon (Carcinoma; Adenocarcinoma)
LOX IMVI,LOX IMVI; LOX/IMVI; LOX IMVI; LOXIM-VI; LOXIMVI; LOX,CVCL_1381,C3802,35,10.0,ACH-000750,SIDM00149,905974.0,LOXIMVI_SKIN,BROAD_DepMap,C0206735,Skin (Malignant melanoma)
M14,M14; M-14; M14-MEL; UCLA-SO-M14; UCLA SO M14; UCLA-SO-14; Melanoma 14,CVCL_1395,C3802,36,10.0,ACH-002159,SIDM00003,905975.0,M14_SKIN,CellModelPassport,C0206735,Skin (Malignant melanoma)
MALME-3M,MALME-3M; MALME-3M; MALME 3M; Malme-3 M; MALME.3M; Malme3M; MALME3M,CVCL_1438,C3224,37,10.0,ACH-000477,SIDM00011,,MALME3M_SKIN,BROAD_DepMap,C0025202,No COSMIC ID
MCF7,MCF7; MCF 7; MCF.7; MCF7; Michigan Cancer Foundation-7; ssMCF-7; ssMCF7; MCF7/WT; IBMF-7; MCF7-CTRL,CVCL_0031,C4194,38,2.0,ACH-000019,SIDM00148,905946.0,MCF7_BREAST,BROAD_DepMap,C1134719,Breast (Carcinoma)
MDA-MB-231,MDA-MB-231; MDA-MB 231;  MDA.MB.231;  MDA MB 231;  MDA MB231;  MDA Mb231;  MDA-MB231;  MDAMB-231;  MDAMB231;  MDA-231;  MDA231;  MB231; MDA-MB-231/ATCC,CVCL_0062,C5214,39,2.0,ACH-000768,SIDM00146,905960.0,MDAMB231_BREAST,BROAD_DepMap,C0858252,Breast (Carcinoma)
MDA-MB-435,MDA-MB-435; MDA-MB435; MDAMB435; MDA.MB.435; MDA-435; MDA 435; MDA435,CVCL_0417,C3802,40,10.0,,SIDM00004,905988.0,,,C0206735,Skin (Malignant melanoma)
MDAMB436,MDAMB436; MDA MB 436; MDA-Mb-436; MDA-MB436; MDAMB436; MDA-436; MDA436,CVCL_0623,C4194,41,2.0,ACH-000573,SIDM00629,1240172.0,MDAMB436_BREAST,BROAD_DepMap,C1134719,Not Found
MDA-MB-468,MDA-MB-468; MDA-MB 468; MDA-MB468; MDAMB468; MDA-468; MDA468; MB468,CVCL_0419,C5214,42,2.0,ACH-000849,SIDM00628,908123.0,MDAMB468_BREAST,BROAD_DepMap,C0858252,Breast (Carcinoma)
MOLT-4,MOLT-4; Molt-4; MOLT 4; Molt 4; MOLT.4; MOLT4; Molt4; GM02219; GM2219C,CVCL_0013,C9142,43,4.0,ACH-001127,SIDM00145,905958.0,MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CellModelPassport,C0279592,Haematopoietic and lymphoid (Lymphoid neoplasm; Acute lymphoblastic leukaemia)
MSTO,MSTO; MSTO-211H; MSTO-211 H; MSTO211H; 211H,CVCL_1430,C9351,44,7.0,ACH-000335,SIDM00640,908152.0,MSTO211H_PLEURA,BROAD_DepMap,C1377913,Pleura (Mesothelioma; Biphasic)
NCI/ADR-RES,NCI/ADR-RES; NCI/ADR-RES; NCIADR.RES; NCIADRRES; ADR-RES; MCF-7/ADR; MCF-7/ADR-RES; MCF-7/AdrR; MCF-7/Adr; MCF-7/adr; MCF-7ADR; MCF7ADR; OVCAR-8/ADR; OVCAR8/ADR,CVCL_1452,C105555,45,8.0,,SIDM00089,,,,C3642254,No COSMIC ID
NCIH1650,NCIH1650; H1650; H-1650; H1650_CO; NCIH1650,CVCL_1483,C2923,46,7.0,ACH-000035,SIDM00745,687800.0,NCIH1650_LUNG,BROAD_DepMap,C2750265,Lung (Carcinoma; Non small cell carcinoma)
NCIH2122,NCIH2122; NCI-H2122; H2122; H-2122,CVCL_1531,C3512,47,7.0,ACH-000311,SIDM00702,722046.0,NCIH2122_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Adenocarcinoma)
NCI-H226,NCI-H226; NCI.H226; H226; H-226; HUT-226; HUT 226; NCIH226,CVCL_1544,C3493,48,7.0,ACH-000367,SIDM00139,905941.0,NCIH226_LUNG,BROAD_DepMap,C0149782,Lung (Carcinoma; Squamous cell carcinoma)
NCIH23,NCIH23; NCI.H23; H23; H-23; NCI-H23,CVCL_1547,C3512,49,7.0,ACH-000900,SIDM00138,905942.0,NCIH23_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Non small cell carcinoma)
NCI-H322M,NCI-H322M; NCI.H322M; H322M; H-322M,CVCL_1557,C2923,50,7.0,ACH-002172,,905967.0,NCIH322M_LUNG,,C2750265,Lung (Carcinoma; Bronchioloalveolar adenocarcinoma)
NCI-H460,NCI-H460; NCI.H460; H460; H-460; NCIH460; NCI-HUT-460; NCI-460; NCIH460,CVCL_0459,C4450,51,7.0,ACH-000463,SIDM00144,905943.0,NCIH460_LUNG,BROAD_DepMap,C0345958,Lung (Carcinoma; Large cell carcinoma)
NCIH520,NCIH520; H520; H-520; NCI-HUT-520; NCIH520,CVCL_1566,C3493,52,7.0,ACH-000395,SIDM01130,908443.0,NCIH520_LUNG,BROAD_DepMap,C0149782,Lung (Carcinoma; Squamous cell carcinoma)
NCI-H522,NCI-H522; NCI.H522; H522; H-522; NCI-522; NCI522; NCIH522,CVCL_1567,C3512,53,7.0,ACH-000343,SIDM00116,905944.0,NCIH522_LUNG,BROAD_DepMap,C0152013,Lung (Carcinoma; Non small cell carcinoma)
OCUBM,OCUBM; OCUB-M; OCUB-1M,CVCL_1621,C4872,54,2.0,ACH-002179,SIDM00241,909256.0,OCUBM_BREAST,CellModelPassport,C0678222,Breast (Carcinoma)
OV90,OV90; OV90,CVCL_3768,C7700,55,8.0,ACH-000291,SIDM01141,1240197.0,OV90_OVARY,BROAD_DepMap,C0948216,Not Found
OVCAR3,OVCAR3; Ovcar-3; NIH:OVCAR3; NIH:Ovcar-3; NIH:OVCAR3; NIH-OVCAR-3; OVCAR.3; OVCAR-3,CVCL_0465,C105555,56,8.0,ACH-000001,SIDM00105,905933.0,NIHOVCAR3_OVARY,BROAD_DepMap,C3642254,Ovary (Carcinoma; Adenocarcinoma)
OVCAR-4,OVCAR-4; NIH:OVCAR-4; NIH:OVCAR4; OVCAR.4; OVCAR4,CVCL_1627,C105555,57,8.0,ACH-000617,SIDM00092,905990.0,OVCAR4_OVARY,BROAD_DepMap,C3642254,Ovary (Carcinoma)
OVCAR-5,OVCAR-5; NIH:OVCAR-5; OVCAR.5; OVCAR5; OVCA5,CVCL_1628,C105555,58,8.0,ACH-001151,SIDM00091,905969.0,OVCAR5_OVARY,BROAD_DepMap,C3642254,Ovary (Carcinoma)
OVCAR-8,OVCAR-8; NIH:OVCAR-8; OVCAR8; Ovcar8; OVCAR.8; OVCA8,CVCL_1629,C105555,59,8.0,ACH-000696,SIDM00090,905991.0,OVCAR8_OVARY,BROAD_DepMap,C3642254,Ovary (Carcinoma)
PA1,PA1; PA-1; PA I; PAI,CVCL_0479,C4908,60,8.0,ACH-001374,SIDM01140,909255.0,PA1_OVARY,BROAD_DepMap,C0677886,Ovary (Germ cell tumour; Teratoma)
PC-3,PC-3; PC3; PC.3,CVCL_0035,C4863,61,9.0,ACH-000090,SIDM00088,905934.0,PC3_PROSTATE,BROAD_DepMap,C0600139,Prostate (Carcinoma; Adenocarcinoma)
RKO,RKO; ,CVCL_0504,C4910,62,6.0,ACH-000943,SIDM01090,909698.0,RKO_LARGE_INTESTINE,BROAD_DepMap,C0699790,Large intestine; Colon (Carcinoma)
RPMI7951,RPMI7951; RPMI 7951; RPMI7951; Roswell Park Memorial Institute 7951,CVCL_1666,C3224,63,10.0,ACH-000348,SIDM01087,910903.0,RPMI7951_SKIN,BROAD_DepMap,C0025202,Skin (Malignant melanoma)
RPMI-8226,RPMI-8226; RPMI 8226; RPMI8226; RPMI.8226; 8226; RPMI 8226/S; RPMI-8226S; RPMI8226/S; 8226/S; Roswell Park Memorial Institute 8226; GM02132; GM2132; GM 2132,CVCL_0014,C3242,64,4.0,ACH-000817,SIDM00087,905964.0,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0026764,Haematopoietic and lymphoid (Lymphoid neoplasm; Plasma cell myeloma)
RXF 393,RXF 393; RXF393L; RXF-393 L; RXF-393; RXF 393; RXF.393; RXF393; RXF 393NL,CVCL_1673,C9385,65,5.0,ACH-002195,SIDM00086,905978.0,RXF393_KIDNEY,CellModelPassport,C1861854,Kidney (Carcinoma; Renal cell carcinoma)
SF-268,SF-268; SF-268; SF 268,CVCL_1689,C60781,66,1.0,ACH-000655,SIDM00085,905986.0,SF268_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0004114,Central nervous system; Brain (Glioma)
SF-295,SF-295; SF-295; SF 295,CVCL_1690,C3058,67,1.0,ACH-000376,SIDM00084,905985.0,SF295_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0017636,Central nervous system; Brain (Glioma)
SF-539,SF-539; SF-539; SF-539 BT; SF 539,CVCL_1691,C3796,68,1.0,ACH-000273,SIDM00083,905984.0,SF539_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0206726,Central nervous system; Brain (Glioma)
SK-MEL-2,SK-MEL-2; SK-Mel-2; SK-mel-2; SK.MEL.2; SK Mel 2; SK MEL 2; SKMEL-2; SKMEL2; SK-ML2; SKml2,CVCL_0069,C3224,69,10.0,ACH-001190,SIDM00082,905955.0,SKMEL2_SKIN,BROAD_DepMap,C0025202,Skin; Upper leg (Malignant melanoma)
SK-MEL-28,SK-MEL-28; SK-Mel-28; SK Mel 28; SK-MEL 28; SK.MEL.28; SK MEL 28; SKMel-28; SKMEL-28; SK-MEL28; SK-Mel28; SKMEL28; SKMel28; AU-Mel; P-36; P36,CVCL_0526,C3510,70,10.0,ACH-000615,SIDM00081,905954.0,SKMEL28_SKIN,BROAD_DepMap,C0151779,Skin (Malignant melanoma)
SKMEL30,SKMEL30; SK-MEL-30; SK-Mel-30; SK Mel 30; SKMEL-30; Sk Mel30; AW-Mel,CVCL_0039,C3510,71,10.0,ACH-000810,SIDM00392,909726.0,SKMEL30_SKIN,BROAD_DepMap,C0151779,Skin (Malignant melanoma)
SK-MEL-5,SK-MEL-5; SK-Mel-5; SK MEL 5; SK.MEL.5; SK-MEL5; SKMel-5; SKMEL-5; SKMEL5; SKMel5; AA-Mel,CVCL_0527,C3510,72,10.0,ACH-000730,SIDM00080,905956.0,SKMEL5_SKIN,BROAD_DepMap,C0151779,Skin; Axilla (Malignant melanoma)
SKMES1,SKMES1; SK MES 1; SKMES-1; SK-Mes-1; SKMES1; SK-MES; SKMES,CVCL_0630,C3493,73,7.0,ACH-000665,SIDM01103,909728.0,SKMES1_LUNG,BROAD_DepMap,C0149782,Lung (Carcinoma; Squamous cell carcinoma)
SK-OV-3,SK-OV-3; SKOV-3; SK.OV.3; SKOV3; SKO3,CVCL_0532,C7978,74,8.0,ACH-000811,SIDM00079,905959.0,SKOV3_OVARY,BROAD_DepMap,C0279663,Ovary (Carcinoma; Adenocarcinoma)
SN12C,SN12C; SN-12C,CVCL_1705,C9385,75,5.0,ACH-002199,SIDM00094,905979.0,SN12C_KIDNEY,CellModelPassport,C1861854,Kidney (Carcinoma; Renal cell carcinoma)
SNB-19,SNB-19; SNB.19; SNB19,CVCL_0535,C60781,76,1.0,ACH-001198,SIDM00109,,SNB19_CENTRAL_NERVOUS_SYSTEM,,C0004114,No COSMIC ID
SNB-75,SNB-75; SNB.75; SNB75,CVCL_1706,C3058,77,1.0,ACH-000504,SIDM00095,905982.0,SNB75_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0017636,Central nervous system; Brain (Glioma)
SR,SR; ,CVCL_1711,C7873,78,4.0,ACH-000338,SIDM00096,905965.0,SR786_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0278763,Haematopoietic and lymphoid (Lymphoid neoplasm)
SW-620,SW-620; SW620; SW 620; SW.620,CVCL_0547,C4349,79,6.0,ACH-000651,SIDM00841,905962.0,SW620_LARGE_INTESTINE,BROAD_DepMap,C0338106,Large intestine; Colon (Carcinoma; Adenocarcinoma)
SW837,SW837; SW-837; SW 837,CVCL_1729,C9383,80,6.0,ACH-000421,SIDM00833,909755.0,SW837_LARGE_INTESTINE,BROAD_DepMap,C0149978,Large intestine; Rectum (Carcinoma; Adenocarcinoma)
T-47D,T-47D; T-47-D; T47-D; T47D:A; T47D,CVCL_0553,C4194,81,2.0,ACH-000147,SIDM00097,905945.0,T47D_BREAST,BROAD_DepMap,C1134719,Breast (Carcinoma; Ductal carcinoma)
TK-10,TK-10; TK.10; TK10,CVCL_1773,C9385,82,5.0,ACH-001208,SIDM00113,905980.0,TK10_KIDNEY,CellModelPassport,C1861854,Kidney (Carcinoma; Renal cell carcinoma)
U251,U251; U-251 MG; U-251-MG; U-251_MG; U251-MG; U251MG; U-251; U251; U251n; U251N; 251 MG; 251MG,CVCL_0021,C60781,83,1.0,ACH-000232,SIDM00111,905983.0,U251MG_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0004114,Central nervous system; Brain (Glioma)
UACC-257,UACC-257; UACC 257; UACC.257; UACC257,CVCL_1779,C3224,84,10.0,ACH-000579,SIDM00108,905977.0,UACC257_SKIN,BROAD_DepMap,C0025202,Skin (Malignant melanoma)
UACC62,UACC62; UACC 62; UACC.62; UACC62; UACC-62,CVCL_1780,C3224,85,10.0,ACH-000425,SIDM00107,905976.0,UACC62_SKIN,BROAD_DepMap,C0025202,Skin (Malignant melanoma)
UO-31,UO-31; UO.31; UO31; U031,CVCL_1911,C9385,86,5.0,ACH-000428,SIDM00112,905981.0,UO31_KIDNEY,BROAD_DepMap,C1861854,Kidney (Carcinoma; Renal cell carcinoma)
UWB1289,UWB1289; UWB1.289; UWB1-289,CVCL_B079,C4908,87,8.0,ACH-001418,SIDM00815,1480374.0,UWB1289_OVARY,BROAD_DepMap,C0677886,Not Found
UWB1289+BRCA1,UWB1289+BRCA1; UWB1.289+BRCA1,CVCL_B078,C4908,88,8.0,,,,,,C0677886,No COSMIC ID
VCAP,VCAP; VCAP; Vertebral Cancer of the Prostate,CVCL_2235,C4863,89,9.0,ACH-000115,SIDM01077,1299075.0,VCAP_PROSTATE,BROAD_DepMap,C0600139,Not Found
ZR751,ZR751; ZR751; ZR75-1; ZR75_1,CVCL_0588,C4194,90,2.0,ACH-000097,SIDM00314,,ZR751_BREAST,BROAD_DepMap,C1134719,No COSMIC ID
KBM-7,KBM-7; KBM7; KBM-7/Hap8,CVCL_A426,C3174,91,4.0,,,,,,C0023473,No COSMIC ID
T98G,T98G; T 98 G; T-98G; T98 G; T98-G,CVCL_0556,C3058,92,1.0,ACH-000571,SIDM01171,687586.0,T98G_CENTRAL_NERVOUS_SYSTEM,BROAD_DepMap,C0017636,Central nervous system; Brain (Glioma)
TMD8,TMD8; TMD-8; Tokyo Medical and Dental university 8,CVCL_A442,C8851,93,4.0,,,,,,C0079744,No COSMIC ID
A-673,A-673; A673; RMS 1598; RMS1598,CVCL_0080,C4817,94,11.0,ACH-000052,SIDM00848,684052.0,A673_BONE,BROAD_DepMap,C0553580,Bone (Ewing sarcoma-peripheral primitive neuroectodermal tumour)
EW-8,EW-8; EW8,CVCL_V618,C4817,95,11.0,ACH-000499,SIDM01500,,EW8_BONE,BROAD_DepMap,C0553580,No COSMIC ID
HDLM-2,HDLM-2; HD-LM-2; HDLM2,CVCL_0009,C9357,96,4.0,ACH-000267,SIDM01064,924110.0,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0019829,Haematopoietic and lymphoid; Lymph node (Lymphoid neoplasm; Hodgkin lymphoma)
L-1236,L-1236; L1236; L 1236,CVCL_2096,C9357,97,4.0,ACH-000702,SIDM00313,1330935.0,L1236_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0019829,Not Found
L-428,L-428; L 428; L428,CVCL_1361,C9357,98,4.0,ACH-000754,SIDM00327,907322.0,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0019829,Haematopoietic and lymphoid; Lymph node (Lymphoid neoplasm; Hodgkin lymphoma)
PANC-1,PANC-1; Panc-1; PANC.1; Panc 1; PanC1; Panc1; PANC1; Panc-1-P,CVCL_0480,C9120,99,12.0,ACH-000164,SIDM00610,,PANC1_PANCREAS,BROAD_DepMap,C1335302,No COSMIC ID
RD,RD; R D; RD-2; RD 2; 130T; 130-T; 130 T; TE-32; TE 32; TE32; TE 32.T; Te 32.T,CVCL_1649,C8971,100,13.0,ACH-000169,SIDM00847,909264.0,RD_SOFT_TISSUE,BROAD_DepMap,C0206656,Soft tissue; Striated muscle (Rhabdomyosarcoma; Embryonal)
Rh36,Rh36; RH36; Birch; BIRCH,CVCL_M599,C8971,101,13.0,ACH-001751,SIDM01350,,RH36_SOFT_TISSUE,BROAD_DepMap,C0206656,No COSMIC ID
SMS-CTR,SMS-CTR; SMS_CTR; SMSCTR,CVCL_A770,C8971,102,13.0,ACH-001196,SIDM01337,,SMSCTR_SOFT_TISSUE,BROAD_DepMap,C0206656,No COSMIC ID
SU-DIPG-XIII,SU-DIPG-XIII; SU DIPG XIII; SU-DIPGXIII,CVCL_IT41,C94764,103,1.0,,,,,,C2986658,No COSMIC ID
TC-32,TC-32; TC32,CVCL_7151,C3716,104,11.0,ACH-001205,SIDM01465,,TC32_BONE,,C0206663,No COSMIC ID
TC-71,TC-71; TC71; GM11654,CVCL_2213,C4817,105,11.0,ACH-000424,SIDM00419,1240221.0,TC71_BONE,BROAD_DepMap,C0553580,Not Found
U-HO1,U-HO1; U-H01,CVCL_2220,C9357,106,4.0,ACH-001685,SIDM01831,,UHO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BROAD_DepMap,C0019829,No COSMIC ID
DIPG25,DIPG25,,C94764,107,1.0,,,,,,C2986658,No COSMIC ID
JHH-136,JHH-136,CVCL_VT28,C3058,108,1.0,,,,,,C0017636,No COSMIC ID
JHH-520,JHH-520,CVCL_VT33,C3058,109,1.0,,,,,,C0017636,No COSMIC ID
ED-40515,ED-40515; ED40515; ED-40515(+),CVCL_JF68,C9142,110,4.0,,,,,,C0279592,No COSMIC ID
KB-3-1,KB-3-1; KB-3-1; KB 3-1; KB3-1; KB31,CVCL_2088,C27677,111,14.0,,,,,,C1334053,No COSMIC ID
KB-ChR-8-5-11,KB-ChR-8-5-11; KB-ChR-8-5-11; KB-8-5-11,CVCL_5997,C27677,112,14.0,,,,,,C1334053,No COSMIC ID
105KC,105KC; 105 KC; KC,CVCL_M605,C4303,113,15.0,,,,,,,No COSMIC ID
1321N1,1321N1; 1321-N1; 1321 N1,CVCL_0110,C60781,114,1.0,ACH-001000,SIDM01967,,1321N1_CENTRAL_NERVOUS_SYSTEM,,C0004114,No COSMIC ID
143B,143B; 143b; 143 B; 143B TK-; 143BTK-; 143TK-; HOS-143B; HOS-143b; GM05887; GM05887A,CVCL_2270,C9145,115,11.0,ACH-001001,SIDM00804,,143B_BONE,BROAD_DepMap,C0029463,No COSMIC ID
184A1,184A1; H184A1,CVCL_3040,,116,2.0,ACH-002319,,,184A1_BREAST,,,No COSMIC ID
184B5,184B5; 184-B5; B5/589; H184B5,CVCL_4688,,117,2.0,ACH-001827,,,184B5_BREAST,,,No COSMIC ID
2004,2004,CVCL_U759,C8715,118,5.0,,,,,,C0854917,No COSMIC ID
201T,201T,CVCL_X481,C3512,119,7.0,ACH-002089,SIDM00055,1287381.0,201T_LUNG,CellModelPassport,C0152013,Not Found
21MT-1,21MT-1; 21-MT-1; 21MT1,CVCL_7931,C4872,120,2.0,ACH-002400,SIDM01902,,21MT1_BREAST,,C0678222,No COSMIC ID
